,AUGUSTO DI LAZZARO LABORATORIO VELLETRI,CASAPOUND ITALIA,CITTADINI PER VELLETRI,CON VOI PER VELLETRI GIORGIO GRECI SINDACO,DIFENDERE VELLETRI LISTA CIVICA,FORZA ITALIA BERLUSCONI,FORZA VELLETRI PER GRECI,FRATELLI D'ITALIA GRECI SINDACO,GENTE LIBERA TU DIVENTA NOI,IL POPOLO DELLA FAMIGLIA,INSIEME PER VELLETRI ALESSANDRO PRIORI SINDACO,LEGA SALVINI LAZIO,LIBERI E UGUALI PER VELLETRI,LISTA CIVICA FELCI SINDACO,LISTA CIVICA GENTE NUOVA,LISTA CIVICA VELLETRI LABORATORIO IN MOVIMENTO,LISTA VELESTER PENNACCHI SINDACO,MOVIMENTO CINQUE STELLE,MOVIMENTO POPOLARE PER VELLETRI,NOI CON VELLETRI PER GRECI SINDACO,PARTITO DEMOCRATICO POCCI SINDACO,PARTITO REPUBBLICANO ITALIANO,PATTO POPOLARE VELLETRI,SINISTRA PER VELLETRI,VELLETRI IN MOVIMENTO CUORI ITALIANI,VELLETRI PER BENI COMUNI POCCI SINDACO,"VIVIAMO VELLETRI PRIORI SINDACO
"
1,20,30,1,32,4,26,11,69,6,1,0,25,58,17,15,5,0,28,5,2,133,1,19,6,10,32,"19
"
2,2,32,2,20,2,6,2,60,4,0,0,12,58,5,20,4,0,22,2,5,79,2,44,0,7,41,"10
"
3,2,34,2,16,6,18,2,75,6,0,4,7,26,12,6,4,1,23,5,8,108,4,42,7,11,29,"7
"
4,6,26,2,18,9,20,11,88,1,0,0,14,42,7,13,1,0,14,10,5,127,0,12,0,21,16,"18
"
5,13,16,1,24,3,12,6,103,6,4,0,27,43,6,16,7,0,41,5,8,93,0,20,6,27,37,"19
"
6,2,45,27,131,80,33,10,130,4,0,1,15,15,11,13,0,3,19,32,6,118,15,15,2,45,18,"37
"
7,4,46,7,23,5,42,8,204,21,0,1,25,17,15,28,2,5,18,10,9,86,2,19,5,25,75,"30
"
8,20,29,18,32,5,23,5,230,1,0,0,85,27,21,28,0,2,2,22,14,233,5,12,2,8,57,"72
"
9,9,44,5,37,16,36,12,153,8,0,0,21,17,22,27,1,3,31,13,13,116,8,32,3,17,53,"27
"
10,2,59,3,33,4,28,41,85,4,0,0,23,50,8,16,0,2,35,7,11,95,6,16,1,8,17,"22
"
11,1,13,0,12,1,15,8,53,24,2,0,23,8,1,42,0,2,39,2,2,144,0,10,0,14,47,"34
"
12,5,15,14,13,7,26,9,93,0,2,0,40,23,14,13,0,3,30,6,2,153,1,43,0,19,20,"34
"
13,5,32,2,24,21,14,3,128,1,0,0,11,23,4,31,3,2,33,5,0,188,0,18,2,18,30,"22
"
14,35,38,5,15,1,20,11,135,5,0,0,33,47,8,35,6,2,38,12,0,149,4,11,1,23,31,"13
"
15,11,23,5,24,4,9,6,80,10,0,0,11,35,17,17,3,6,25,6,12,131,6,35,8,8,28,"12
"
16,13,21,6,25,8,14,9,78,1,0,0,27,27,5,17,1,0,11,2,2,100,12,9,9,5,37,"19
"
17,19,35,2,19,4,9,3,61,5,2,0,17,34,25,17,3,13,27,13,4,78,0,16,4,23,31,"26
"
